Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREFFT_0/genblk1.DUT_INPLACE/sm_0/wTimer_dly_2/Primitives,0,14,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/twidLUT_1/Primitives,0,7,0,0,0,0,0,0,0,0
COREFFT_0/genblk1.DUT_INPLACE/twidLUT_1/twidLUT_0/SmFu4_sram.smGen_RAM_0/Primitives,0,0,36,36,0,1,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/Primitives,1,577,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/fill_in_dly/Primitives,50,49,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/odd_tap.last_tap/pipe_reg_0/Primitives,0,16,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/odd_tap.last_tap/symm_add_balance_0/Primitives,0,1,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/pipe_dly_0/Primitives,3,3,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/sync_ngrst_0/sync_ngrst_0/Primitives,0,4,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[0].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[0].a_tap/mac_enum_0/adder2.adder2_0/mac_0/mac_0/Primitives,0,0,396,396,0,0,11,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[0].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[10].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[10].a_tap/mac_enum_0/adder2_break.xreg_0/Primitives,0,132,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[10].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[11].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[11].a_tap/mac_enum_0/adder2.adder2_0/mac_0/mac_0/Primitives,0,0,180,180,0,0,5,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[11].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[12].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[12].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[13].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[13].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[14].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[14].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[1].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[1].a_tap/symm_tap.pipe_reg_0/Primitives,0,17,0,0,0,0,0,0,0,0
COREFIR_0/enum_g4.enum_fir_g4/fir_enum_g4_0/taps.tap[2].a_tap/Primitives,17,0,0,0,0,0,0,0,0,0
